ID;PT;SATELLITE_NAME;FREQ;POL;AZ_REAL;UM_REAL;COMMENT
134;105;Asiasat 7 ;0;0;0;0;AC-7.2m
135;108;SES 9;0;0;0;0;AC-7.2m
136;108;Telkom 4 ;0;0;0;0;AC-7.2m
137;108;SES 7 ;0;0;0;0;AC-7.2m
138;110;BSat 3B;0;0;0;0;AC-7.2m
139;110;ChinaSat 10 ;0;0;0;0;AC-7.2m
140;110;BSat 3C ;0;0;0;0;AC-7.2m
141;110;Chinasat 16 ;0;0;0;0;AC-7.2m
142;110;BSat 3A;0;0;0;0;AC-7.2m
143;110;JCSat 110A ;0;0;0;0;AC-7.2m
144;110;Bsat 4A;0;0;0;0;AC-7.2m
145;110;Bsat 4B;0;0;0;0;AC-7.2m
146;113;Koreasat 5A ;0;0;0;0;AC-7.2m
147;113;Koreasat 5 ;0;0;0;0;AC-7.2m
148;116;ChinaSat 6B ;0;0;0;0;AC-7.2m
149;116;Koreasat 6 ;0;0;0;0;AC-7.2m
150;116;Koreasat 7 ;0;0;0;0;AC-7.2m
151;118;Telkom 3S;0;0;0;0;AC-7.2m
152;119;Bangabandhu-1 ;0;0;0;0;AC-7.2m
153;119;Thaicom 4 ;0;0;0;0;AC-7.2m
154;120;Asiasat 6 ;0;0;0;0;AC-7.2m
155;122;Asiasat 9;0;0;0;0;AC-7.2m
156;124;JCSat 4B ;0;0;0;0;AC-7.2m
157;125;ChinaSat 6A ;0;0;0;0;AC-7.2m
158;125;Chinasat 6C ;0;0;0;0;AC-7.2m
159;128;LAOSat 1 ;0;0;0;0;AC-7.2m
160;128;JCSat 3A ;0;0;0;0;AC-7.2m
161;128;JCSat RA ;0;0;0;0;AC-7.2m
162;128;COMS 1 ;0;0;0;0;AC-7.2m
163;132;JCSat 5A ;0;0;0;0;AC-7.2m
164;132;Vinasat 1;0;0;0;0;AC-7.2m
165;132;Vinasat 2;0;0;0;0;AC-7.2m
166;134;APSTAR 6C;0;0;0;0;AC-7.2m
167;134;APSTAR 6D ;0;0;0;0;AC-7.2m
168;136;JCSat 16;0;0;0;0;AC-7.2m
169;136;JCSat 17;0;0;0;0;AC-7.2m
170;138;Telstar 18V ;0;0;0;0;AC-7.2m
171;140;Express AT2;0;0;0;0;AC-7.2m
172;140;NBN-Co 1A ;0;0;0;0;AC-7.2m
173;140;Express AM5 ;0;0;0;0;AC-7.2m
174;142;APSTAR 9 ;0;0;0;0;AC-7.2m
175;143;Inmarsat-4F1 ;0;0;0;0;AC-7.2m
176;144;Superbird C2 ;0;0;0;0;AC-7.2m
177;145;NBN-Co 1B ;0;0;0;0;AC-7.2m
178;146;PSN 6 ;0;0;0;0;AC-7.2m
179;150;BRIsat;0;0;0;0;AC-7.2m
180;150;JCSat 1C ;0;0;0;0;AC-7.2m
181;152;Optus D2;0;0;0;0;AC-7.2m
182;154;JCSat 2B ;0;0;0;0;AC-7.2m
183;156;Optus 10;0;0;0;0;AC-7.2m
184;156;Optus C1 ;0;0;0;0;AC-7.2m
